crashid,location,severity_rating5,intersection,alcohol_involved,hazmat_involved,hs_collision_type,crash_type,road_sys_code,road_horiz_align_code,road_grade_code,road_surf_code,surf_cond_code,light_cond_code,environ_cond_code,road_median_code,temp_traffic_zone,posted_speed,first_harmful_event,flg_cell_in_use
01-02-2014-14-086659,ATLANTIC-ATLANTIC CITY,4,N,N,N,1,13,7,1,4,2,1,1,1,2,1,25,22,N
01-02-2014-14-083519,ATLANTIC-ATLANTIC CITY,4,N,Y,N,1,13,7,1,4,2,1,6,5,4,1,25,22,N
01-02-2014-14-131338,ATLANTIC-ATLANTIC CITY,5,Y,N,N,2,3,7,1,4,2,1,1,1,5,1,25,26,Y
01-02-2014-14-115664,ATLANTIC-ATLANTIC CITY,5,Y,N,N,1,13,7,1,4,1,2,6,2,4,,25,22,N
01-02-2014-14-099046,ATLANTIC-ATLANTIC CITY,4,N,N,N,1,13,7,1,4,2,1,1,1,5,1,25,22,N
01-02-2014-14-005817,ATLANTIC-ATLANTIC CITY,4,N,Y,N,2,4,7,1,4,2,1,6,1,5,1,25,26,N
01-04-2014-2014002387,ATLANTIC-BUENA BORO,5,N,N,N,4,11,5,1,4,2,3,5,3,5,1,45,5,N
01-05-2014-A090-2014-00122A,ATLANTIC-BUENA VISTA TWP,5,N,N,N,2,4,5,0,4,2,1,3,1,5,1,50,26,N
01-05-2014-A090-2014-00142A,ATLANTIC-BUENA VISTA TWP,5,N,N,N,4,99,5,1,4,2,1,1,1,5,1,50,7,N
01-05-2014-A090-2014-00126A,ATLANTIC-BUENA VISTA TWP,5,Y,N,N,4,3,5,1,4,2,1,1,1,5,1,50,26,N
01-07-2014-2014008621,ATLANTIC-EGG HARBOR CITY,4,Y,N,N,2,4,2,1,4,2,1,6,1,5,1,35,26,N
01-07-2014-2014006264,ATLANTIC-EGG HARBOR CITY,4,N,N,N,2,6,7,1,4,2,1,1,1,5,1,25,26,N
01-08-2014-A160-2014-00356A,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,11,3,1,4,2,1,5,1,1,1,65,6,N
01-08-2014-2014-00074653,ATLANTIC-EGG HARBOR TWP,5,N,N,N,4,99,5,0,4,2,1,7,1,5,1,45,5,N
01-08-2014-2014-00050862,ATLANTIC-EGG HARBOR TWP,4,N,N,N,2,1,5,1,4,2,1,1,1,5,1,45,26,N
01-08-2014-A160201400356A,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,11,3,1,4,2,1,5,1,1,1,65,6,N
01-08-2014-2014-00041347,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,11,2,0,4,2,1,1,1,2,1,45,6,N
01-08-2014-2014-35415,ATLANTIC-EGG HARBOR TWP,4,N,N,N,5,14,5,1,4,2,1,1,1,5,1,40,21,N
01-08-2014-14-24813,ATLANTIC-EGG HARBOR TWP,4,N,N,N,2,99,9,1,0,5,7,1,1,5,1,25,99,N
01-08-2014-I-2014-00477,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,4,4,0,4,2,4,1,6,4,1,40,26,N
01-08-2014-E030-2014-00087A,ATLANTIC-EGG HARBOR TWP,5,N,N,N,4,10,3,0,4,2,1,1,1,1,1,65,5,N
01-08-2014-2014-00037745,ATLANTIC-EGG HARBOR TWP,4,N,N,N,2,4,5,1,4,2,1,1,1,5,1,50,26,N
01-09-2014-A090-2014-00121A,ATLANTIC-ESTELL MANOR CITY,5,N,N,N,2,1,2,1,4,2,1,1,1,5,1,50,26,N
01-10-2014-A090-2014-00155A,ATLANTIC-FOLSOM BORO,5,N,N,N,7,3,2,1,4,2,1,1,1,4,1,55,26,N
