crashid,location,severity_rating5,intersection,alcohol_involved,hazmat_involved,hs_collision_type,crash_type,road_sys_code,road_horiz_align_code,road_grade_code,road_surf_code,surf_cond_code,light_cond_code,environ_cond_code,road_median_code,temp_traffic_zone,posted_speed,first_harmful_event,flg_cell_in_use
01-01-2018-I-2018-021856,ATLANTIC-ABSECON CITY,4,Y,N,N,1,13,2,1,4,2,1,6,1,1,1,25,22,N
01-01-2018-I-2018-035069,ATLANTIC-ABSECON CITY,5,N,Y,N,3,4,5,1,5,2,1,5,1,5,1,35,26,N
01-01-2018-I-2018-011777,ATLANTIC-ABSECON CITY,4,N,N,N,7,11,2,1,4,2,2,6,2,1,1,40,56,N
01-01-2018-I-2018-006018,ATLANTIC-ABSECON CITY,4,N,Y,N,4,11,2,1,4,2,1,1,5,1,1,40,48,N
01-02-2018-1807-0206,ATLANTIC-ATLANTIC CITY,4,Y,N,N,3,10,8,1,4,3,1,1,1,5,1,,1,N
01-02-2018-1805-0270,ATLANTIC-ATLANTIC CITY,4,Y,N,N,1,13,7,1,4,2,1,1,1,4,1,25,22,N
01-02-2018-1810-0232,ATLANTIC-ATLANTIC CITY,5,N,N,N,7,11,2,1,4,2,2,1,2,1,1,50,26,N
01-02-2018-1803-0725,ATLANTIC-ATLANTIC CITY,4,Y,N,N,2,3,7,1,4,2,1,6,1,5,1,25,26,N
01-02-2018-1805-0508,ATLANTIC-ATLANTIC CITY,5,N,N,N,2,6,7,1,4,2,1,3,1,5,1,25,28,N
01-02-2018-1807-0605,ATLANTIC-ATLANTIC CITY,4,N,N,N,7,5,2,1,5,2,1,1,1,1,1,45,26,N
01-02-2018-1808-0868,ATLANTIC-ATLANTIC CITY,4,N,N,N,7,1,2,1,6,2,1,1,1,1,1,40,26,N
01-02-2018-1809-00069,ATLANTIC-ATLANTIC CITY,5,N,N,N,2,3,3,1,4,2,1,1,1,2,1,35,26,N
01-02-2018-1808-0114,ATLANTIC-ATLANTIC CITY,4,N,N,N,1,13,7,1,4,2,1,6,1,5,1,25,26,N
01-02-2018-1801-0488,ATLANTIC-ATLANTIC CITY,4,N,N,N,2,13,7,1,4,2,1,1,1,5,1,25,22,N
01-02-2018-1809-0535,ATLANTIC-ATLANTIC CITY,4,Y,N,N,4,6,7,1,4,2,2,6,2,5,1,25,28,N
01-05-2018-A090-2018-00372A,ATLANTIC-BUENA VISTA TWP,5,N,Y,N,7,11,2,2,4,2,1,6,1,5,1,40,56,N
01-05-2018-A090-2018-00240A,ATLANTIC-BUENA VISTA TWP,4,N,N,N,4,2,2,1,4,2,1,1,1,5,1,50,26,N
01-05-2018-A090-2018-00073A,ATLANTIC-BUENA VISTA TWP,4,N,Y,N,4,11,5,1,4,2,1,1,1,5,1,50,52,N
01-05-2018-A090-2018-00187A,ATLANTIC-BUENA VISTA TWP,5,N,N,N,4,4,2,1,4,2,1,1,1,5,1,55,26,N
01-05-2018-A090-2018-00354A,ATLANTIC-BUENA VISTA TWP,4,N,N,N,4,4,7,3,4,2,3,1,3,5,1,45,26,N
01-07-2018-2018003168,ATLANTIC-EGG HARBOR CITY,4,N,N,N,4,11,5,1,4,2,4,1,6,5,1,50,,N
01-07-2018-2018009482,ATLANTIC-EGG HARBOR CITY,5,Y,N,N,1,13,2,1,4,2,2,6,2,5,1,35,22,N
01-08-2018-2018002498,ATLANTIC-EGG HARBOR TWP,5,Y,N,N,7,3,7,1,4,2,1,1,5,5,1,35,26,N
01-08-2018-2018025334,ATLANTIC-EGG HARBOR TWP,5,Y,N,N,2,3,2,1,4,2,1,7,1,3,1,50,26,N
01-08-2018-2018036049,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,1,5,1,4,2,1,6,1,5,1,45,26,N
01-08-2018-2018003714,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,1,5,1,4,2,1,7,1,5,1,50,26,N
01-08-2018-2018036540,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,4,99,5,3,4,2,1,1,1,5,1,45,11,N
01-08-2018-2018042448,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,11,5,1,4,2,1,1,1,5,1,50,60,N
01-08-2018-2018059937,ATLANTIC-EGG HARBOR TWP,4,N,N,N,1,13,5,1,4,2,1,5,1,5,1,45,22,N
01-08-2018-2018039762,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,2,3,2,1,4,2,1,1,1,3,1,50,26,N
01-09-2018-A090-2018-00224A,ATLANTIC-ESTELL MANOR CITY,4,N,N,N,4,10,5,1,4,2,1,1,1,5,1,50,1,N
01-10-2018-A090-2018-00177A,ATLANTIC-FOLSOM BORO,4,N,N,N,4,4,5,1,4,2,1,1,1,5,1,40,26,N
01-10-2018-A090-2018-00183A,ATLANTIC-FOLSOM BORO,5,N,Y,N,4,11,2,2,4,2,1,1,1,4,1,55,56,N
01-11-2018-E030-2018-01160A,ATLANTIC-GALLOWAY TWP,5,N,Y,N,4,11,3,1,4,2,1,6,1,1,1,65,50,N
01-11-2018-2018033454,ATLANTIC-GALLOWAY TWP,4,N,N,N,4,11,2,2,4,2,1,7,1,5,1,45,50,N
01-11-2018-2018046322,ATLANTIC-GALLOWAY TWP,4,N,N,N,4,11,5,3,6,2,1,6,1,5,1,40,,N
01-11-2018-2018009553,ATLANTIC-GALLOWAY TWP,4,N,N,N,4,11,5,1,4,2,1,1,1,5,1,45,60,N
01-11-2018-2018042648,ATLANTIC-GALLOWAY TWP,4,N,N,N,4,11,5,1,4,2,1,1,1,5,1,50,61,N
01-11-2018-2018045739,ATLANTIC-GALLOWAY TWP,4,N,Y,N,4,11,2,1,4,2,1,1,1,1,1,45,46,N
01-11-2018-2018035726,ATLANTIC-GALLOWAY TWP,4,N,N,N,4,11,2,1,4,2,1,1,1,5,1,50,52,N
01-12-2018-2018035177,ATLANTIC-HAMILTON TWP,4,N,N,N,2,1,2,1,4,2,1,1,1,4,1,55,26,N
01-12-2018-2018054015,ATLANTIC-HAMILTON TWP,5,N,Y,N,4,11,5,1,4,2,1,7,1,5,1,50,60,N
01-12-2018-2018030246,ATLANTIC-HAMILTON TWP,4,Y,N,N,2,7,5,1,4,2,1,3,1,5,1,50,26,N
01-12-2018-2018003742,ATLANTIC-HAMILTON TWP,4,N,Y,N,2,5,2,1,4,2,2,6,5,4,1,50,26,N
01-12-2018-2018017600,ATLANTIC-HAMILTON TWP,5,N,N,N,2,1,2,2,4,2,1,1,1,2,1,50,26,N
