crashid,location,severity_rating5,intersection,alcohol_involved,hazmat_involved,hs_collision_type,crash_type,road_sys_code,road_horiz_align_code,road_grade_code,road_surf_code,surf_cond_code,light_cond_code,environ_cond_code,road_median_code,temp_traffic_zone,posted_speed,first_harmful_event,flg_cell_in_use
01-01-2016-I-2016-012777,ATLANTIC-ABSECON CITY,5,N,Y,N,4,99,2,1,4,2,1,6,1,1,1,40,11,N
01-01-2016-I-2016-025743,ATLANTIC-ABSECON CITY,5,N,Y,N,1,13,2,1,4,2,1,6,1,1,1,45,22,N
01-01-2016-I-2016-001116,ATLANTIC-ABSECON CITY,5,Y,N,N,1,13,2,1,4,2,1,6,1,1,1,40,22,N
01-02-2016-16-041614,ATLANTIC-ATLANTIC CITY,4,N,N,N,4,10,2,1,4,2,2,6,2,1,1,50,5,N
01-02-2016-1610-0911,ATLANTIC-ATLANTIC CITY,5,N,Y,N,4,11,2,0,4,2,1,6,1,1,1,50,5,N
01-02-2016-16-071021,ATLANTIC-ATLANTIC CITY,5,Y,N,N,1,13,7,1,4,2,1,6,1,5,1,25,22,N
01-02-2016-16-034421,ATLANTIC-ATLANTIC CITY,4,N,Y,N,2,13,7,1,4,2,1,1,1,4,1,25,26,N
01-02-2016-16-042336,ATLANTIC-ATLANTIC CITY,4,N,Y,N,4,11,2,0,4,2,1,6,1,1,1,50,5,N
01-02-2016-16-032984,ATLANTIC-ATLANTIC CITY,4,Y,N,N,1,13,7,1,4,2,1,6,1,5,1,25,22,N
01-04-2016-2016025024,ATLANTIC-BUENA BORO,4,N,N,N,2,4,2,0,4,2,1,6,2,5,1,45,26,N
01-05-2016-A090-2016-00385A,ATLANTIC-BUENA VISTA TWP,5,N,N,N,4,11,7,,,5,1,1,1,5,1,,6,N
01-05-2016-A090-2016-00158A,ATLANTIC-BUENA VISTA TWP,5,N,N,N,4,11,5,0,4,2,1,5,4,5,1,,6,N
01-05-2016-A090-2016-00225A,ATLANTIC-BUENA VISTA TWP,5,N,N,N,2,7,7,1,4,2,1,6,1,5,1,35,26,N
01-05-2016-A090-2016-00113A,ATLANTIC-BUENA VISTA TWP,4,N,N,N,4,1,5,1,4,2,1,5,1,5,1,50,26,N
01-05-2016-A090-2016-00327A,ATLANTIC-BUENA VISTA TWP,4,N,N,N,2,9,7,1,4,2,1,1,1,5,1,45,26,N
01-07-2016-2016008460,ATLANTIC-EGG HARBOR CITY,5,Y,N,N,1,13,2,1,4,2,1,6,1,5,1,45,22,N
01-07-2016-2016006205,ATLANTIC-EGG HARBOR CITY,5,N,N,N,4,99,7,1,4,2,1,1,1,5,1,25,7,N
01-08-2016-2016-00034566,ATLANTIC-EGG HARBOR TWP,4,N,N,N,1,13,5,1,4,2,1,5,1,5,1,50,22,N
01-08-2016-2016-00022925,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,11,2,0,4,2,1,1,1,1,1,40,5,N
01-08-2016-2016-00015144,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,3,7,5,1,7,2,1,1,1,5,1,45,26,N
01-08-2016-E030-2016-00426A,ATLANTIC-EGG HARBOR TWP,5,N,N,N,4,11,3,0,4,2,2,1,2,3,1,65,6,N
01-08-2016-2016-00040882,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,99,5,1,4,2,1,6,1,5,1,50,7,N
01-08-2016-E030-2016-00429A,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,7,10,3,0,0,2,1,2,1,1,1,35,56,N
01-08-2016-2016-00008604,ATLANTIC-EGG HARBOR TWP,4,N,N,N,1,13,5,1,4,2,1,5,1,5,1,40,22,N
01-08-2016-2016-00053783,ATLANTIC-EGG HARBOR TWP,5,Y,Y,N,1,13,2,1,4,2,1,7,1,5,1,45,22,N
01-08-2016-A160-2016-00832A,ATLANTIC-EGG HARBOR TWP,5,N,N,N,4,11,3,,,2,1,1,1,1,1,,5,N
01-08-2016-2016-00044265,ATLANTIC-EGG HARBOR TWP,4,N,N,N,2,3,5,1,4,2,1,1,1,5,1,50,26,N
01-08-2016-2016-00026043,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,5,14,5,1,4,2,1,1,1,5,1,45,21,N
01-08-2016-A160-2016-00003A,ATLANTIC-EGG HARBOR TWP,5,N,Y,N,4,11,3,1,4,2,1,5,1,3,1,65,6,N
01-08-2016-A160-2016-00831A,ATLANTIC-EGG HARBOR TWP,4,N,N,N,1,13,3,1,0,2,1,1,1,1,1,,22,N
01-08-2016-2016-00018036,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,4,11,5,1,4,2,1,1,1,5,1,50,5,N
01-08-2016-E030-2016-00503A,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,99,3,1,4,2,1,5,1,1,2,45,6,N
01-08-2016-2016-00002672,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,4,11,5,1,4,2,1,1,1,5,1,50,5,N
01-10-2016-A090-2016-00199A,ATLANTIC-FOLSOM BORO,5,N,N,N,4,11,5,1,4,2,1,5,1,5,1,,5,N
01-10-2016-A090-2016-00110A,ATLANTIC-FOLSOM BORO,4,N,N,N,3,10,7,1,4,2,1,1,1,5,1,25,1,N
01-10-2016-A090-2016-00153A,ATLANTIC-FOLSOM BORO,5,Y,Y,N,5,14,2,1,4,2,1,6,1,5,1,55,21,N
01-11-2016-2016-00033928,ATLANTIC-GALLOWAY TWP,5,N,N,N,1,13,2,1,4,2,1,5,1,5,1,50,22,N
01-11-2016-2016-00021786,ATLANTIC-GALLOWAY TWP,4,N,N,N,2,2,2,1,4,2,1,5,1,5,1,50,26,N
01-11-2016-2016-00021925,ATLANTIC-GALLOWAY TWP,4,N,N,N,4,1,2,1,4,2,1,4,1,5,1,50,26,N
01-11-2016-2016-00034661,ATLANTIC-GALLOWAY TWP,5,N,N,N,1,13,5,1,4,2,2,6,2,5,1,45,22,N
01-11-2016-E030-2016-00634A,ATLANTIC-GALLOWAY TWP,5,N,N,N,1,13,3,1,4,2,1,6,1,5,1,,22,N
01-11-2016-2016-00023401,ATLANTIC-GALLOWAY TWP,4,Y,Y,N,4,11,5,1,4,2,1,1,1,5,1,,5,N
01-11-2016-2016-00031075,ATLANTIC-GALLOWAY TWP,5,N,N,N,1,13,5,1,4,2,1,5,1,5,1,45,22,N
01-11-2016-2016-00007452,ATLANTIC-GALLOWAY TWP,5,N,N,N,4,5,5,1,4,2,1,1,1,5,1,45,26,N
01-11-2016-2016-00024913,ATLANTIC-GALLOWAY TWP,5,Y,N,N,1,13,2,1,4,2,2,6,2,1,1,45,22,N
01-11-2016-2016-00030460,ATLANTIC-GALLOWAY TWP,4,N,Y,N,7,11,5,1,4,2,1,1,5,5,1,45,50,N
01-12-2016-A160-2016-00430A,ATLANTIC-HAMILTON TWP,5,N,N,N,4,11,3,1,4,2,1,1,1,3,1,65,6,N
01-12-2016-2016013484,ATLANTIC-HAMILTON TWP,4,Y,Y,N,1,13,5,1,4,2,2,6,1,5,1,50,22,N
01-12-2016-2016026129,ATLANTIC-HAMILTON TWP,5,Y,N,N,4,11,2,0,0,2,0,0,0,4,1,55,6,N
01-12-2016-2016039467,ATLANTIC-HAMILTON TWP,5,N,N,N,5,14,2,0,4,2,1,5,1,5,1,50,21,Y
01-12-2016-2016049471,ATLANTIC-HAMILTON TWP,4,Y,N,N,1,13,2,1,4,2,2,7,4,5,1,50,22,N
01-12-2016-2016026236,ATLANTIC-HAMILTON TWP,5,Y,N,N,2,7,2,1,0,2,1,1,1,4,1,55,26,N
01-12-2016-2016032643,ATLANTIC-HAMILTON TWP,4,N,N,N,2,1,2,1,4,2,1,1,1,4,1,50,26,N
01-12-2016-2016028282,ATLANTIC-HAMILTON TWP,5,N,N,N,4,11,5,1,4,2,1,1,1,5,1,50,6,N
01-12-2016-2016044633,ATLANTIC-HAMILTON TWP,5,N,Y,N,4,11,5,0,4,2,1,2,1,4,1,50,6,N
01-12-2016-2016013454,ATLANTIC-HAMILTON TWP,4,N,N,N,7,11,7,1,4,2,1,1,1,5,1,25,52,N
01-12-2016-2016029813,ATLANTIC-HAMILTON TWP,4,N,N,N,4,11,2,1,4,2,1,3,1,4,1,55,5,N
01-12-2016-2016043115,ATLANTIC-HAMILTON TWP,5,N,Y,N,4,11,2,1,4,2,2,6,2,5,1,50,5,N
01-12-2016-2016009496,ATLANTIC-HAMILTON TWP,4,Y,Y,N,2,2,2,1,0,2,1,1,1,5,1,,26,N
01-12-2016-2016041128,ATLANTIC-HAMILTON TWP,4,N,N,N,7,11,5,0,4,2,1,1,1,5,1,50,1,N
01-13-2016-I-2016-16086,ATLANTIC-HAMMONTON TOWN,4,Y,N,N,5,14,5,1,4,2,1,1,1,5,1,30,21,N
01-13-2016-I-2016-18362,ATLANTIC-HAMMONTON TOWN,4,Y,N,N,2,3,2,1,4,2,1,1,1,5,1,50,26,N
01-13-2016-I-2016-07741,ATLANTIC-HAMMONTON TOWN,5,N,N,N,1,13,9,1,4,2,1,1,1,5,1,,22,N
01-13-2016-I-2016-09965,ATLANTIC-HAMMONTON TOWN,5,N,N,N,4,99,2,1,4,2,2,6,5,0,1,50,7,N
01-13-2016-I-2016-18003,ATLANTIC-HAMMONTON TOWN,4,N,Y,N,4,11,5,1,4,2,1,1,1,5,1,45,5,N
01-17-2016-I-2016-006345,ATLANTIC-MULLICA TWP,5,N,N,N,4,11,7,1,0,2,1,1,1,5,1,40,5,N
01-18-2016-2016/10044,ATLANTIC-NORTHFIELD CITY,4,N,N,N,5,14,5,1,4,2,1,1,1,5,1,35,21,N
01-18-2016-2016/10735,ATLANTIC-NORTHFIELD CITY,4,N,N,N,2,1,2,1,4,2,1,1,1,5,1,35,26,N
01-19-2016-I-2016-000692,ATLANTIC-PLEASANTVILLE CITY,4,Y,N,N,1,13,2,1,4,2,1,1,1,5,1,40,22,N
01-19-2016-A160-2016-00825A,ATLANTIC-PLEASANTVILLE CITY,5,N,N,N,2,1,3,1,4,2,2,6,2,1,1,65,26,N
01-19-2016-I-2016-033931,ATLANTIC-PLEASANTVILLE CITY,4,N,Y,N,5,14,5,1,4,2,1,6,1,5,1,35,21,N
01-19-2016-I-2016-020416,ATLANTIC-PLEASANTVILLE CITY,4,Y,N,N,5,14,5,1,4,2,1,1,1,5,1,35,21,N
01-19-2016-I-2016-013680,ATLANTIC-PLEASANTVILLE CITY,4,N,N,N,7,11,5,1,4,2,1,3,1,4,1,25,54,N
01-19-2016-I-2016-024022,ATLANTIC-PLEASANTVILLE CITY,5,N,N,N,4,11,5,1,4,2,1,6,1,5,1,35,6,N
01-19-2016-I-2016-021223,ATLANTIC-PLEASANTVILLE CITY,5,N,N,N,4,11,7,1,4,2,1,2,1,5,1,25,6,N
01-20-2016-E030-2016-00723A,ATLANTIC-PORT REPUBLIC CITY,5,N,Y,N,4,11,3,0,0,2,1,6,1,1,1,65,5,N
01-20-2016-C120-2016-00158A,ATLANTIC-PORT REPUBLIC CITY,5,N,N,N,5,14,5,,,2,1,1,1,5,1,,21,N
01-22-2016-I-2016-14471,ATLANTIC-VENTNOR CITY,4,N,N,N,1,13,7,1,4,2,2,1,2,5,1,25,22,N
01-22-2016-I-2016-02474,ATLANTIC-VENTNOR CITY,4,N,N,N,1,13,5,1,4,2,1,1,1,5,1,25,22,N
01-22-2016-I-2016-03636,ATLANTIC-VENTNOR CITY,4,Y,N,N,1,13,7,1,4,2,1,6,1,5,1,35,22,N
01-23-2016-A090-2016-00335A,ATLANTIC-WEYMOUTH TWP,4,N,N,N,4,11,5,1,4,2,1,1,1,5,1,50,6,N
02-04-2016-2016-005671,BERGEN-BOGOTA BORO,4,Y,N,N,1,13,5,1,4,2,1,1,1,4,1,30,22,N
02-05-2016-D030-2016-00296A,BERGEN-CARLSTADT BORO,5,N,N,N,7,11,3,0,4,2,1,6,1,1,1,,56,N
02-05-2016-16-10865,BERGEN-CARLSTADT BORO,4,N,Y,N,7,11,7,1,0,2,2,6,5,5,1,25,56,N
02-06-2016-I-2016-013741,BERGEN-CLIFFSIDE PARK BORO,4,N,Y,N,7,11,7,1,7,2,1,1,1,4,1,25,54,N
02-06-2016-I-2016-021685,BERGEN-CLIFFSIDE PARK BORO,4,N,Y,N,2,1,5,1,4,2,1,6,1,4,1,25,26,Y
02-07-2016-I-2016-012843,BERGEN-CLOSTER BORO,4,N,Y,N,4,11,5,0,4,2,1,6,1,5,1,40,5,N
02-09-2016-DP-16-17248,BERGEN-DEMAREST BORO,5,N,N,N,1,13,7,1,4,2,1,5,1,5,1,25,22,N
02-10-2016-16-02499,BERGEN-DUMONT BORO,4,N,Y,N,7,11,7,1,0,2,1,6,1,3,1,25,56,N
02-12-2016-ER-16-01352,BERGEN-EAST RUTHERFORD BORO,4,Y,N,N,2,4,5,1,0,2,4,6,6,5,1,25,26,N
02-12-2016-16-013546,BERGEN-EAST RUTHERFORD BORO,4,N,N,N,7,4,2,1,7,2,1,1,1,5,1,55,26,N
02-12-2016-ER-16-09349,BERGEN-EAST RUTHERFORD BORO,4,Y,N,N,2,3,2,1,4,2,1,1,1,1,,40,26,N
02-12-2016-ER-16-09205,BERGEN-EAST RUTHERFORD BORO,5,N,N,N,4,11,2,1,4,2,1,6,1,1,1,50,6,N
02-12-2016-ER-16-08850,BERGEN-EAST RUTHERFORD BORO,4,N,N,N,1,13,7,1,4,2,1,1,1,5,1,25,22,N
02-12-2016-ER-16-08822,BERGEN-EAST RUTHERFORD BORO,5,N,N,N,2,99,2,1,4,2,1,6,1,1,1,55,26,N
02-12-2016-B250-2016-00028A,BERGEN-EAST RUTHERFORD BORO,5,N,N,N,4,11,7,0,4,2,1,1,1,5,1,25,5,N
02-13-2016-2016-006875,BERGEN-EDGEWATER BORO,4,N,N,N,4,14,5,0,7,2,1,1,1,4,1,30,7,N
02-13-2016-2016-011029,BERGEN-EDGEWATER BORO,5,N,N,N,4,99,5,1,4,2,1,1,1,4,1,35,7,N
02-11-2016-I-2016-039024,BERGEN-ELMWOOD PARK BORO,5,Y,N,N,2,3,7,1,4,2,1,1,1,5,1,40,26,N
02-11-2016-I-2016-016665,BERGEN-ELMWOOD PARK BORO,4,Y,N,N,4,11,7,1,4,2,1,6,1,2,1,,5,N
02-15-2016-D030-2016-00309A,BERGEN-ENGLEWOOD CITY,4,N,N,N,1,13,3,1,0,2,1,6,1,1,1,55,22,N
02-15-2016-I-2016-037400,BERGEN-ENGLEWOOD CITY,4,N,N,N,1,13,5,1,4,2,1,1,1,5,1,30,22,N
02-15-2016-I-2016-000765,BERGEN-ENGLEWOOD CITY,4,N,N,N,2,13,7,1,0,2,1,7,1,5,1,25,26,N
02-15-2016-I-2016-037670,BERGEN-ENGLEWOOD CITY,4,N,N,N,2,6,5,1,4,2,1,1,1,5,1,35,26,Y
02-15-2016-I-2016-032007,BERGEN-ENGLEWOOD CITY,4,Y,N,N,1,13,7,1,4,2,1,1,1,5,1,25,22,N
02-15-2016-I-2016-004572,BERGEN-ENGLEWOOD CITY,4,Y,N,N,2,3,5,1,4,2,1,1,1,5,1,30,26,N
02-15-2016-BC-16-001800,BERGEN-ENGLEWOOD CITY,5,N,N,N,7,11,2,1,4,2,2,6,2,1,1,50,56,N
02-16-2016-I-2016-015536,BERGEN-ENGLEWOOD CLIFFS BORO,5,N,N,N,1,13,2,0,0,2,2,6,2,4,1,35,22,N
02-18-2016-16-13577-A-AC,BERGEN-FAIRVIEW BORO,4,Y,Y,N,2,3,7,1,4,2,1,6,1,5,1,25,26,N
02-19-2016-I-2016-005242,BERGEN-FORT LEE BORO,4,N,N,N,1,13,5,1,0,2,1,1,1,5,,25,22,N
02-19-2016-I-2016-042716,BERGEN-FORT LEE BORO,4,N,N,N,7,11,2,0,0,2,1,6,1,1,1,50,56,N
02-19-2016-I-2016-040338,BERGEN-FORT LEE BORO,5,N,Y,N,1,13,2,1,4,2,1,5,1,5,1,25,22,N
02-20-2016-B060-2016-01805A,BERGEN-FRANKLIN LAKES BORO,4,N,Y,N,2,2,1,1,4,2,1,5,1,1,1,65,26,N
02-20-2016-16-13130,BERGEN-FRANKLIN LAKES BORO,4,Y,N,N,5,14,5,1,4,2,1,3,1,5,1,35,21,N
02-20-2016-16-17404,BERGEN-FRANKLIN LAKES BORO,4,Y,N,N,4,11,5,0,4,2,1,7,1,5,1,25,6,N
02-21-2016-I-2016-036408,BERGEN-GARFIELD CITY,4,N,N,N,1,13,5,1,4,2,1,6,1,4,1,25,22,N
02-23-2016-B060-2016-01814A,BERGEN-HACKENSACK CITY,4,N,N,N,4,10,1,0,4,2,1,1,1,1,1,55,6,N
02-23-2016-BS-16-070198,BERGEN-HACKENSACK CITY,5,N,N,N,2,1,2,1,4,2,1,1,1,1,1,50,26,N
02-23-2016-B060-2016-01432A,BERGEN-HACKENSACK CITY,4,N,Y,N,4,11,1,1,4,2,1,6,1,1,1,55,6,N
02-23-2016-BS-16-13586,BERGEN-HACKENSACK CITY,5,Y,N,N,2,3,7,1,4,2,1,1,1,5,1,25,26,N
02-25-2016-I-2016-10831,BERGEN-HASBROUCK HEIGHTS BORO,4,N,N,N,7,11,5,1,0,2,1,1,1,4,1,25,52,Y
02-25-2016-I-2016-02543,BERGEN-HASBROUCK HEIGHTS BORO,5,N,N,N,1,13,5,1,4,2,1,7,1,4,1,25,22,N
02-29-2016-29-16-009481,BERGEN-LEONIA BORO,4,Y,N,N,1,13,5,1,0,2,1,6,1,5,1,25,22,N
