crashid,location,severity_rating5,intersection,alcohol_involved,hazmat_involved,hs_collision_type,crash_type,road_sys_code,road_horiz_align_code,road_grade_code,road_surf_code,surf_cond_code,light_cond_code,environ_cond_code,road_median_code,temp_traffic_zone,posted_speed,first_harmful_event,flg_cell_in_use
01-01-2015-I-2015-032852,ATLANTIC-ABSECON CITY,4,N,Y,N,4,11,2,1,4,2,1,6,1,1,1,50,5,N
01-02-2015-15-034408,ATLANTIC-ATLANTIC CITY,4,N,N,N,4,10,2,0,4,2,1,1,1,1,,50,5,N
01-02-2015-15-047766,ATLANTIC-ATLANTIC CITY,4,Y,N,N,2,3,3,1,4,2,1,6,1,1,1,35,26,N
01-02-2015-15-040955,ATLANTIC-ATLANTIC CITY,4,Y,N,N,3,3,7,1,4,2,1,6,1,5,,25,26,N
01-02-2015-15-031224,ATLANTIC-ATLANTIC CITY,4,N,N,N,2,3,3,1,4,2,1,1,5,2,1,35,26,N
01-02-2015-A160-2015-00301A,ATLANTIC-ATLANTIC CITY,4,N,N,N,7,2,3,0,7,2,1,6,5,5,1,35,26,N
01-02-2015-15-029866,ATLANTIC-ATLANTIC CITY,4,N,N,N,1,13,7,1,4,2,1,6,1,5,1,25,22,N
01-02-2015-15-080573,ATLANTIC-ATLANTIC CITY,4,Y,Y,N,1,13,7,1,4,2,1,6,1,5,1,25,22,N
01-03-2015-I-2015-03183,ATLANTIC-BRIGANTINE CITY,4,N,Y,N,8,15,8,,,99,1,5,1,5,1,15,39,N
01-04-2015-2015010481,ATLANTIC-BUENA BORO,4,N,N,N,3,10,7,,,5,1,1,1,5,1,25,1,N
01-04-2015-2015005254,ATLANTIC-BUENA BORO,4,Y,N,N,2,7,2,1,4,2,1,1,1,5,1,50,26,N
01-05-2015-A090-2015-00119A,ATLANTIC-BUENA VISTA TWP,4,Y,N,N,4,11,5,1,4,2,1,6,1,5,1,50,6,N
01-07-2015-15-09998,ATLANTIC-EGG HARBOR CITY,4,Y,N,N,2,7,2,1,4,2,1,1,1,5,1,35,26,N
01-07-2015-2015010193,ATLANTIC-EGG HARBOR CITY,4,Y,N,N,7,7,5,1,4,2,2,6,2,5,1,45,26,N
01-07-2015-2015000376,ATLANTIC-EGG HARBOR CITY,5,N,Y,N,4,13,5,1,4,2,1,1,1,5,1,50,5,N
01-08-2015-2015-000303S3,ATLANTIC-EGG HARBOR TWP,5,N,Y,N,4,10,5,1,4,2,1,5,1,5,1,50,6,N
01-08-2015-2015-00060484,ATLANTIC-EGG HARBOR TWP,5,N,N,N,1,13,2,1,4,2,1,7,1,4,1,45,22,N
01-08-2015-2015-00081011,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,2,3,5,1,4,2,1,1,1,5,1,45,26,N
01-08-2015-15-11191,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,11,2,0,4,2,3,1,3,5,1,50,5,N
01-08-2015-2015-00080524,ATLANTIC-EGG HARBOR TWP,4,N,N,N,4,99,5,1,7,2,2,5,2,5,1,50,7,N
01-08-2015-2015-00079101,ATLANTIC-EGG HARBOR TWP,5,Y,N,N,4,3,7,1,4,2,1,1,1,5,1,45,26,N
01-08-2015-2015-00069181,ATLANTIC-EGG HARBOR TWP,5,N,N,N,1,13,9,,,99,1,1,1,5,1,,22,N
01-08-2015-2015-00081795,ATLANTIC-EGG HARBOR TWP,4,N,N,N,2,1,2,0,4,2,1,1,1,2,1,45,26,N
01-08-2015-A160-2015-00134A,ATLANTIC-EGG HARBOR TWP,5,N,Y,N,4,11,3,1,0,2,1,5,1,1,1,65,5,N
01-08-2015-2015-00008900,ATLANTIC-EGG HARBOR TWP,5,N,N,N,1,13,2,1,4,2,2,6,1,3,1,45,22,N
01-08-2015-2015-00080347,ATLANTIC-EGG HARBOR TWP,4,N,N,N,5,14,2,1,4,2,1,5,1,2,1,50,21,N
01-08-2015-2015-35551,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,4,11,5,1,4,2,1,3,1,4,1,40,6,N
01-08-2015-2015-00081395,ATLANTIC-EGG HARBOR TWP,5,N,N,N,1,13,2,1,4,2,1,7,1,5,1,45,22,N
01-08-2015-E030-2015-00192A,ATLANTIC-EGG HARBOR TWP,5,N,N,N,7,2,3,0,4,2,1,6,1,2,1,65,26,N
01-08-2015-2015-00012864,ATLANTIC-EGG HARBOR TWP,4,N,Y,N,4,11,5,1,4,2,4,1,2,5,1,50,6,N
01-08-2015-2015-00045679,ATLANTIC-EGG HARBOR TWP,4,Y,N,N,2,3,2,1,4,2,2,1,2,5,1,50,26,N
01-08-2015-2015-00026237,ATLANTIC-EGG HARBOR TWP,5,N,N,N,1,13,2,1,0,2,1,5,1,2,,50,22,N
01-08-2015-2015-00051973,ATLANTIC-EGG HARBOR TWP,5,N,N,N,1,13,2,1,0,2,1,6,1,4,,45,22,N
01-09-2015-A090-2015-00235A,ATLANTIC-ESTELL MANOR CITY,5,N,N,N,4,99,2,0,4,2,1,1,1,5,1,50,7,N
01-10-2015-A090-2015-00166A,ATLANTIC-FOLSOM BORO,4,N,N,N,2,3,2,1,4,2,1,1,1,4,1,55,26,N
01-11-2015-2015-00026690,ATLANTIC-GALLOWAY TWP,5,N,N,N,2,4,2,1,4,2,1,3,1,5,1,50,26,N
01-11-2015-2015-00000412,ATLANTIC-GALLOWAY TWP,5,Y,Y,N,4,3,5,1,4,2,2,6,2,5,1,40,26,N
01-11-2015-2015-00035413,ATLANTIC-GALLOWAY TWP,5,N,N,N,2,4,5,1,0,2,1,1,1,5,1,50,26,N
